epoch,train_raw_l1,validation_patient_weighted_full_mae,validation_slice_weighted_full_mae,learning_rate,is_checkpoint_candidate,is_best_so_far
0,,0.016358921897391625,0.016293873452702484,0.001,False,False
1,0.015048852734840834,0.011233964707743268,0.01114689363745478,0.001,True,True
2,0.011844193226156326,0.010654985872440908,0.010562573115493955,0.001,True,True
3,0.011398958393300955,0.010023272157606289,0.009927438057453955,0.001,True,True
4,0.011222519682577023,0.010156910307746821,0.010063486934065988,0.001,True,False
5,0.011131737316743686,0.009927545224334294,0.009829520510435947,0.001,True,True
6,0.011027130520401093,0.009897643198852687,0.009806358910528785,0.001,True,True
7,0.011026877694978164,0.009850219293772909,0.009746973110773301,0.001,True,True
8,0.011009597584891779,0.009753598943559507,0.009646759715752077,0.001,True,True
9,0.010864128874471555,0.009690026708457766,0.009589656581839094,0.001,True,True
10,0.010869256578958951,0.009690522856208054,0.009585846162869432,0.001,True,False
11,0.01082690734272966,0.009658530500238535,0.009553760482198269,0.001,True,True
12,0.010791183098290975,0.009965398976178746,0.009865348216798683,0.001,True,False
13,0.010750675652749264,0.009690676734603864,0.009589589052007528,0.001,True,False
14,0.010821488277556805,0.009825701873062814,0.009721830779276157,0.001,True,False
15,0.010755295399576426,0.009594150217997815,0.009488620901596075,0.001,True,True
16,0.010763614553098495,0.01009555051921126,0.009988951794066503,0.001,True,False
17,0.010787001639031447,0.009572873438953737,0.009464025316433719,0.001,True,True
18,0.0106931326409372,0.010069211330799984,0.009966524330488707,0.001,True,False
19,0.010736131388694049,0.009539245557610413,0.00943357366910678,0.001,True,True
20,0.010629732147432291,0.009624186983284813,0.00951866685849546,0.001,True,False
21,0.010693542566150427,0.00963540566386611,0.009521538311205172,0.001,True,False
22,0.010677049960941076,0.009496683932848601,0.009388527858707696,0.001,True,True
23,0.010710845894825,0.009987814725524987,0.009889873265062517,0.001,True,False
24,0.010623491949473436,0.009462295384452426,0.00935555371839953,0.001,True,True
25,0.010625995337389983,0.009511245857551427,0.00941035683493072,0.001,True,False
26,0.01062675162863273,0.009675608026655054,0.00956425874804457,0.001,True,False
27,0.010538869408460765,0.009567114338114113,0.009464830015970153,0.001,True,False
28,0.01062684585698522,0.009582922583571985,0.00947681537981929,0.001,True,False
29,0.010614934656769038,0.009898837577524086,0.0097953841295409,0.001,True,False
30,0.010657705524219916,0.009391127838350577,0.009284458121568974,0.001,True,True
