epoch,train_raw_l1,validation_patient_weighted_full_mae,validation_slice_weighted_full_mae,learning_rate,is_checkpoint_candidate,is_best_so_far
0,,0.016358921897391625,0.016293873452702484,0.001,False,False
1,0.014070630481896492,0.010840080896876636,0.010752023547614193,0.001,True,True
2,0.011627226473333745,0.01039219552990671,0.010292124279937838,0.001,True,True
3,0.011370131036696526,0.010187073497914504,0.010091018278446407,0.001,True,True
4,0.011151637659909633,0.010118616920939303,0.010013412753130588,0.001,True,True
5,0.011042019015607925,0.0097802621558286,0.009681084618435405,0.001,True,True
6,0.010954082828874771,0.009646128887634735,0.009547616209897955,0.001,True,True
7,0.01086191416073304,0.009840369402235894,0.009744855643665723,0.001,True,False
8,0.010787460480171901,0.009680803383578568,0.009570209698299062,0.001,True,False
9,0.010714710145615614,0.009491114165657758,0.009392089096271554,0.001,True,True
10,0.010698728986944144,0.00950790748498463,0.009409028810506823,0.001,True,False
11,0.010660665324674202,0.009503369722264322,0.00939821248011148,0.001,True,False
12,0.01063052943119636,0.009425609922363862,0.009329732504310245,0.001,True,True
13,0.010561625494693335,0.009592441462100624,0.009493474184540706,0.001,True,False
14,0.010534422214214618,0.009445346609459783,0.009338150830613186,0.001,True,False
15,0.01048631791311961,0.00937188061812551,0.009271424493126276,0.001,True,True
16,0.01038924132545407,0.009288792708405715,0.009189381995001586,0.001,True,True
17,0.010375876946804615,0.009394981228709574,0.009296400558813818,0.001,True,False
18,0.010367223419822179,0.009322263200969948,0.009220891037566514,0.001,True,False
19,0.010387309389905288,0.009537378020032796,0.009433511485172024,0.001,True,False
20,0.010374238041157906,0.009306752765462825,0.009209255571082486,0.001,True,False
21,0.01032783783112581,0.009349010643165893,0.009252025208588543,0.001,True,False
22,0.010346485251704087,0.009238511112992828,0.009143312439575033,0.001,True,True
23,0.010290910403888959,0.009274117549352643,0.009172301893096186,0.001,True,False
24,0.010248761523801548,0.009244993318449716,0.009143178647983882,0.001,True,False
25,0.010239997083464495,0.009271366207891268,0.00916508192638472,0.001,True,False
26,0.010295286273153929,0.009171990095574073,0.009065980795707742,0.001,True,True
27,0.010192044666753365,0.009183273855803703,0.009076986911753982,0.001,True,False
28,0.010254109572046078,0.009128745766673453,0.009023798531773737,0.001,True,True
29,0.010188602391057289,0.009099781560206584,0.008992731385985336,0.001,True,True
30,0.010230599365268763,0.009102941770526467,0.00899571698201073,0.001,True,False
