epoch,train_raw_l1,validation_patient_weighted_full_mae,validation_slice_weighted_full_mae,learning_rate,is_checkpoint_candidate,is_best_so_far
0,,0.016358921897391625,0.016293873452702484,0.001,False,False
1,0.015057411281248698,0.01153613839233436,0.01146076906809194,0.001,True,True
2,0.012236924139926067,0.010982357449906471,0.01089921670592269,0.001,True,True
3,0.01178362097304601,0.01066741343334384,0.010580874108683086,0.001,True,True
4,0.011632346583960148,0.010556539345436692,0.010469474785535011,0.001,True,True
5,0.011468781817417879,0.010955126486669508,0.010866953368367111,0.001,True,False
6,0.011324440179249416,0.010395722940234714,0.010301886116927964,0.001,True,True
7,0.011162991635501385,0.009972399070020038,0.009876211795240303,0.001,True,True
8,0.011195032986310811,0.010287859763057542,0.010194916917947727,0.001,True,False
9,0.011056059842499404,0.010207451408278704,0.010112414863697216,0.001,True,False
10,0.011034188183167806,0.009796539481246007,0.009693983767581524,0.001,True,True
11,0.010973384904746825,0.010018877121585364,0.00992367820614307,0.001,True,False
12,0.010915294217948731,0.00982756616584648,0.009717357234429505,0.001,True,False
13,0.010878917338469853,0.00974938622707735,0.009647020257714778,0.001,True,True
14,0.01087572192056821,0.0097280487217875,0.009626130074641462,0.001,True,True
15,0.01081421933351801,0.009660033195675965,0.009555649898399068,0.001,True,True
16,0.010841565335599275,0.00981666469208296,0.009712849305890038,0.001,True,False
17,0.010804896959318565,0.00970672131008714,0.009603769132225527,0.001,True,False
18,0.010809643982121577,0.009680042949664706,0.009577715035927834,0.001,True,False
19,0.010781408201616544,0.009643155529080847,0.0095384654052303,0.001,True,True
20,0.010732007255920996,0.009736491543541012,0.009629515563742926,0.001,True,False
21,0.01074401349402391,0.009593928918498763,0.009485558566169046,0.001,True,True
22,0.010721245078513256,0.009694668654305632,0.009591513508562483,0.001,True,False
23,0.010725562295948083,0.009684644294415711,0.009584186895945146,0.001,True,False
24,0.010676416453833763,0.009541957528488017,0.00943657363433454,0.001,True,True
25,0.010696728248149157,0.009521278847594543,0.00941443889438685,0.001,True,True
26,0.010701808483841328,0.009525121661197537,0.009421113873226831,0.001,True,False
27,0.010704633579231225,0.009557881088481652,0.009448933673990986,0.001,True,False
28,0.010708789219363378,0.009761381315078374,0.009661560604022552,0.001,True,False
29,0.01067248870833562,0.009498949647100996,0.009389296905953163,0.001,True,True
30,0.010621957015246153,0.009524231377620512,0.009416317325716806,0.001,True,False
