epoch,train_raw_l1,validation_patient_weighted_full_mae,validation_slice_weighted_full_mae,learning_rate,is_checkpoint_candidate,is_best_so_far
0,,0.016358921897391625,0.016293873452702484,0.001,False,False
1,0.014786705188453198,0.01065651455257001,0.010564274429264716,0.001,True,True
2,0.011589556524100212,0.010098607947233065,0.010005673278901873,0.001,True,True
3,0.011252994892688897,0.010149067158912865,0.010052447905500899,0.001,True,False
4,0.011091933213174343,0.009877204638833252,0.009781540676130582,0.001,True,True
5,0.011002782345391237,0.01006168849890097,0.009963740280561023,0.001,True,False
6,0.010914574549175226,0.009757612827554716,0.009658879794096206,0.001,True,True
7,0.010890265453893405,0.009801542408513783,0.009699225405199548,0.001,True,False
8,0.01083884215555512,0.009822033278686694,0.009723981431459135,0.001,True,False
9,0.010884807559733208,0.010024878141222843,0.009926628834425898,0.001,True,False
10,0.01085803616218842,0.00964407670543828,0.00953914546013131,0.001,True,True
11,0.010834535032224197,0.00982788464687166,0.009730149609284044,0.001,True,False
12,0.010784067586064339,0.009552584029206865,0.009450739423223472,0.001,True,True
13,0.010778630195328822,0.009751007392951455,0.009652289015761876,0.001,True,False
14,0.010768145709656752,0.009557628887440174,0.009455391847249646,0.001,True,False
15,0.010729013447864698,0.009830188394564713,0.009726983882844617,0.001,True,False
16,0.010724300382515558,0.00953655752963171,0.009432774991596823,0.001,True,True
17,0.010701881606991474,0.009742338973593808,0.009644535441730318,0.001,True,False
18,0.01070216652005911,0.009510411763834213,0.009407425969628628,0.001,True,True
19,0.010683676220763189,0.009768190172935362,0.009667711048308065,0.001,True,False
20,0.010606465237931564,0.009545208989865774,0.009443555461337506,0.001,True,False
21,0.010591426756806098,0.009792717809712295,0.009695743808343923,0.001,True,False
22,0.010661145428625438,0.009484272517403802,0.009379224683878954,0.001,True,True
23,0.010665727707629021,0.009680796704018578,0.009580273630023844,0.001,True,False
24,0.010618850667602741,0.00943044591916068,0.00932473239283693,0.001,True,True
25,0.010587817724221028,0.009558574626284051,0.009456556034669028,0.001,True,False
26,0.010597332029675062,0.009655682322628815,0.009555468283656795,0.001,True,False
27,0.010607174074707123,0.009415689648469963,0.009309597761175558,0.001,True,True
28,0.01051918539003684,0.009405534152662072,0.009302320317654622,0.001,True,True
29,0.010497794006592953,0.009501170008488812,0.009398787484983098,0.001,True,False
30,0.010572837551052754,0.00964486156465982,0.009542958309484572,0.001,True,False
