epoch,train_raw_l1,validation_patient_weighted_full_mae,validation_slice_weighted_full_mae,learning_rate,is_checkpoint_candidate,is_best_so_far
0,,0.016358921897391625,0.016293873452702484,0.001,False,False
1,0.013972541661216663,0.01089852078473085,0.010786076782976335,0.001,True,True
2,0.011757901561661408,0.01062409872774251,0.010525875632245999,0.001,True,True
3,0.011285502886256347,0.010158922992685697,0.010049609069075793,0.001,True,True
4,0.011080479027273563,0.009777377737739247,0.00967861535501177,0.001,True,True
5,0.010902952137761391,0.00979052553549664,0.009689244412222488,0.001,True,False
6,0.010829638711248453,0.009696432973460206,0.009599622230092853,0.001,True,True
7,0.01074419767380907,0.009606826747338907,0.00950947522506707,0.001,True,True
8,0.010714872661404884,0.0095218876140686,0.009422786652221012,0.001,True,True
9,0.010641437711624,0.00977523685910193,0.009667642766578218,0.001,True,False
10,0.010590827443565314,0.009435537751546166,0.009335483604315985,0.001,True,True
11,0.010599593144769852,0.009398717021478807,0.009294421003215899,0.001,True,True
12,0.010544678210639036,0.009348173414325799,0.009243249774800014,0.001,True,True
13,0.010539295359586294,0.009696445785870757,0.009589926019773981,0.001,True,False
14,0.010521494210339509,0.009525812283703921,0.009421773913111222,0.001,True,False
15,0.01047339908635387,0.009555043836995167,0.009451917466828547,0.001,True,False
16,0.010488759296444746,0.00949824951330665,0.009392297098486773,0.001,True,False
17,0.010441755052082814,0.00927482012830117,0.009167672454847791,0.001,True,True
18,0.010401644794127116,0.009310519175600091,0.009209858878163127,0.001,True,False
19,0.01039317654302487,0.009250188959797083,0.009142527064192767,0.001,True,True
20,0.010378770616192084,0.009319545300350085,0.009210013518751847,0.001,True,False
21,0.010501630396510546,0.009285622801403607,0.00918277923891184,0.001,True,False
22,0.010322633650726998,0.009413980262933712,0.009312566881736288,0.001,True,False
23,0.010313392724268712,0.009194305903596304,0.009088776413203969,0.001,True,True
24,0.010358680670077985,0.009192536909032146,0.009084373273186933,0.001,True,True
25,0.010325697967066215,0.00935769545420234,0.009246727448525066,0.001,True,False
26,0.0102801099491234,0.009251926898363768,0.009145376803406047,0.001,True,False
27,0.010364957032008813,0.009230427596352045,0.009124716595446659,0.001,True,False
28,0.010346372984349728,0.009594574076262472,0.009469066249827544,0.001,True,False
29,0.01028417726405538,0.009126640923453132,0.009018382413239129,0.001,True,True
30,0.010237441068658462,0.009130005197981421,0.009021429388157729,0.001,True,False
