epoch,train_raw_l1,validation_patient_weighted_full_mae,validation_slice_weighted_full_mae,learning_rate,is_checkpoint_candidate,is_best_so_far
0,,0.016358921897391625,0.016293873452702484,0.001,False,False
1,0.014152540997243845,0.011025390969783984,0.01093346353378252,0.001,True,True
2,0.011693120848100919,0.010193232115197796,0.01010251256695154,0.001,True,True
3,0.011307296672692665,0.010069432778068032,0.009954402581551823,0.001,True,True
4,0.011063104731818804,0.009781022983009934,0.00968664771335273,0.001,True,True
5,0.010919258199059046,0.00963724852526386,0.00954117133192676,0.001,True,True
6,0.010791229356366854,0.00968158776423676,0.009588012351828107,0.001,True,False
7,0.010743875228441679,0.009513470534538297,0.009416469802164425,0.001,True,True
8,0.010674154787109449,0.009566004971072904,0.00946464780612854,0.001,True,False
9,0.010608280614878122,0.009653848384344577,0.009554418014351931,0.001,True,False
10,0.010563713813630434,0.009432875472510002,0.009325023580047876,0.001,True,True
11,0.010641976897246563,0.009376134247495256,0.009270981671867398,0.001,True,True
12,0.010602694599387737,0.009676927577080396,0.009576942218667539,0.001,True,False
13,0.01056720015521233,0.009324419514271156,0.009220074903283079,0.001,True,True
14,0.010543713704324685,0.009570975511059532,0.009468913145657986,0.001,True,False
15,0.010510434554173395,0.009290557650534539,0.009182809462170986,0.001,True,True
16,0.010498119668605236,0.009525484602278781,0.009419191116730204,0.001,True,False
17,0.010448660264508082,0.009252419362158678,0.009146394914721197,0.001,True,True
18,0.010456566648701062,0.009489384052138288,0.009383625583986272,0.001,True,False
19,0.010397423796642285,0.00930208632108183,0.009198661947275623,0.001,True,False
20,0.01034742512095433,0.009305243701619796,0.009201553742280282,0.001,True,False
21,0.010321515418875675,0.009190076654485657,0.009084526771458528,0.001,True,True
22,0.010324182927321929,0.009275980119387219,0.00916309636401928,0.001,True,False
23,0.010325661552353546,0.009308135699064425,0.009206882729010898,0.001,True,False
24,0.01028327729123143,0.009243778297311041,0.00914070298421686,0.001,True,False
25,0.010360265329766732,0.009417924335418125,0.009312149053071178,0.001,True,False
26,0.010261686210735485,0.009174787413973984,0.009069425481145327,0.001,True,True
27,0.010266689490526915,0.009154586178189053,0.009042316015893961,0.001,True,True
28,0.010257715373658216,0.00918234185810953,0.009072293890482289,0.001,True,False
29,0.010323415438716229,0.009184439804485259,0.009075855541090338,0.001,True,False
30,0.010336679449448218,0.009304339895970416,0.009201879274773565,0.001,True,False
