epoch,train_raw_l1,validation_patient_weighted_full_mae,validation_slice_weighted_full_mae,learning_rate,is_checkpoint_candidate,is_best_so_far
0,,0.016358921897391625,0.016293873452702484,0.001,False,False
1,0.013858058067181935,0.01067658216448805,0.010574620301798407,0.001,True,True
2,0.011701076578062315,0.010346113275669718,0.010253038332602904,0.001,True,True
3,0.011342190657384121,0.01005396261323237,0.009950841202974152,0.001,True,True
4,0.011177471280097962,0.009986539190241702,0.009887391538227682,0.001,True,True
5,0.011066847781722362,0.010099518412732161,0.010001403903115099,0.001,True,False
6,0.011000515456096484,0.009775099261584411,0.0096749835694998,0.001,True,True
7,0.010965853069837276,0.009876545368745137,0.009777143299263918,0.001,True,False
8,0.01090801338163706,0.009754152393459127,0.009644916390021473,0.001,True,True
9,0.010893017082260205,0.00968134888063061,0.009578547688295781,0.001,True,True
10,0.010805543504941922,0.0097461080788437,0.0096429145689738,0.001,True,False
11,0.010798489359708932,0.00968372716448163,0.009580908678366808,0.001,True,False
12,0.01074594078012384,0.00962822364627202,0.009520350760217271,0.001,True,True
13,0.010733377589629247,0.00980764223945482,0.00970677264813481,0.001,True,False
14,0.010722789705659335,0.009594520196358966,0.00948867581805772,0.001,True,True
15,0.010713579785078763,0.009751712857411934,0.009649189630533848,0.001,True,False
16,0.010752855921880557,0.009954337621935367,0.009855380077651665,0.001,True,False
17,0.010684590399838411,0.009749693456772431,0.009648877101829328,0.001,True,False
18,0.010661480489831704,0.009596511388824428,0.009492739909828383,0.001,True,False
19,0.010663968023772423,0.00957402969930957,0.00946221796974624,0.001,True,True
20,0.010698599862651183,0.009528969515872348,0.009423703143089,0.001,True,True
21,0.010627020608920318,0.009741520810685798,0.009636813526352246,0.001,True,False
22,0.010663984866382984,0.00947911233912581,0.009374658598717155,0.001,True,True
23,0.010590559315796081,0.009602768236788094,0.009498182597364915,0.001,True,False
24,0.010649063760558,0.009449287862062207,0.009343851321392645,0.001,True,True
25,0.010680661214372287,0.009451957625184271,0.009344764336375362,0.001,True,False
26,0.010631702804508118,0.0094028125786648,0.009298190327708499,0.001,True,True
27,0.010570625144128615,0.009547160779365295,0.009442501211023264,0.001,True,False
28,0.010626607474226219,0.009462084789437617,0.00935998049664632,0.001,True,False
29,0.010542958193960098,0.009368746012909724,0.009264993631296743,0.001,True,True
30,0.01055338910709207,0.00938715213453635,0.009282284190530999,0.001,True,False
